name
Amlopine
Metformin
Paracetamol
Impurin
Turmeric 500
Prenolol 25
Luseogliflozin
Elthon
Bilastine 20
Selrotine
Immucept 500
Pregabalin Sandoz 75
Nifelat
Escitalopram Sandoz 10
Lusefi
Glycediab
Atenolol
